3,Tekken 7,Bandai Namco,https://res.cloudinary.com/decomtmki/image/upload/v1670773029/60LMXmTtlbr3RwGglLc9awmBpcFRCC5S_qtvcce.jpg,Fighting,,Tekken 7,Tekken 7 is a fighting game developed and published by Bandai Namco Entertainment. It is the seventh main and ninth overall installment in the Tekken series. Tekken 7 was released to arcades in March 2015.,https://en.bandainamcoent.eu/tekken/tekken-7
4,FIFA 22,Electronic Arts,https://res.cloudinary.com/decomtmki/image/upload/v1670773038/FIFA-22-Cover-Art-1_afus2o.png,Sports,,EA SPORTS FIFA 22 Standard Edition,"Powered by Football™, EA SPORTS™ FIFA 22 brings the game even closer to the real thing with fundamental gameplay advances and a new season of innovation across every mode.",https://www.ea.com/games/fifa/fifa-22
9,Minecraft,Xbox Game Studios,https://res.cloudinary.com/decomtmki/image/upload/v1670773026/2f2f77db59300fc7f48c6ad650790192_dkkdvx.jpg,Simulation,,Minecraft,"Minecraft is a sandbox game developed by Mojang Studios. The game was created by Markus '"Notch'" Persson in the Java programming language. Following several early private testing versions, it was first made public in May 2009 before being fully released in November 2011, with Notch stepping down and Jens '"Jeb'" Bergensten taking over development. Minecraft is the best-selling video game of all time, with over 238 million copies sold and nearly 140 million monthly active players as of 2021, and has been ported to several platforms.",https://www.minecraft.net/en-us
5,PUBG,KRAFTON,https://res.cloudinary.com/decomtmki/image/upload/v1670773032/artworks-7dd4JObG769Fy1sF-Cm8DzA-t500x500_ksrsg0.jpg,Shooting,,PlayerUnknown's Battlegrounds,"A free-to-play battle royale video game developed by LightSpeed & Quantum Studio, a division of Tencent Games. It is a mobile game adaptation of PUBG: Battlegrounds. It was initially released for Android and iOS on 19 March 2018.",https://na.battlegrounds.pubg.com/
6,NFS Unbound,Electronic Arts,https://res.cloudinary.com/decomtmki/image/upload/v1670773038/nfs-unbound-button-fin-1665517112800_q9epbj.jpg,Racing,,Need For Speed Unbound,"Need for Speed Unbound is a 2022 racing video game developed by Criterion Games and published by Electronic Arts for PlayStation 5, Windows, and Xbox Series X/S.",https://www.ea.com/games/need-for-speed/need-for-speed-unbound
1,FIFA 23,Electronic Arts,https://res.cloudinary.com/decomtmki/image/upload/v1670773038/fifa-23-cover-star-kylian-mbappe-psg_xp5wbg.jpg,Sports,,EA Sports FIFA 23 Standard Edition,"EA SPORTS™ FIFA 23 brings The World''s Game to the pitch, with both men''s and women''s FIFA World Cup™ tournaments, the addition of women''s club teams and new ways to play your favourite modes. Advances in HyperMotion2 Technology bring even more of the action and realism of football to the pitch on PS5.",https://www.ea.com/games/fifa/fifa-23
2,Halo Infinite,Xbox Game Studios,https://res.cloudinary.com/decomtmki/image/upload/v1670773031/haloinfinitemultiplayer_cpu7tx.jpg,Shooting,,Halo Infinite Multiplayer Edition,"Halo Infinite is a 2021 first-person shooter game developed by 343 Industries and published by Xbox Game Studios. It is the sixth mainline entry in the Halo series, following Halo 5: Guardians.",https://www.halowaypoint.com/halo-infinite
7,GTA V,Rockstar Games,https://res.cloudinary.com/decomtmki/image/upload/v1670773025/294566-grand-theft-auto-v-playstation-4-front-cover_pkssgd.jpg,Action,,Grand Theft Auto V Premium Edition,"Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the seventh main entry in the Grand Theft Auto series, following 2008''s Grand Theft Auto IV, and the fifteenth instalment overall.",https://www.rockstargames.com/gta-v
8,Fortnite,Epic Games,https://res.cloudinary.com/decomtmki/image/upload/v1670773024/416543-fortnite-standard-founder-s-pack-playstation-4-front-cover_dqfkef.jpg,Shooting,,Fortnite,"Fortnite is an online video game developed by Epic Games and released in 2017. It is available in three distinct game mode versions that otherwise share the same general gameplay and game engine: Fortnite Battle Royale, a free-to-play battle royale game in which up to 100 players fight to be the last person standing; Fortnite: Save the World, a cooperative hybrid tower defense-shooter and survival game in which up to four players fight off zombie-like creatures and defend objects with traps and fortifications they can build; and Fortnite Creative, in which players are given complete freedom to create worlds and battle arenas.",https://www.epicgames.com/fortnite/en-US/home
10,Forza 5,Xbox Game Studios,https://res.cloudinary.com/decomtmki/image/upload/v1670773041/forza-horizon-5-button-fin-1629830068379_qx2ixu.jpg,Racing,,Forza Horizon 5,Forza Horizon 5 is a 2021 racing video game developed by Playground Games and published by Xbox Game Studios. It is the fifth Forza Horizon title and twelfth main instalment in the Forza series. The game is set in a fictionalised representation of Mexico.,https://forza.net/horizon/
